filename,ground_truth,actual_result,predicted_result,,,,,,,,,,,,,,
car1.jpg,京Q85A77,京,Q,5,8,A,7,7, ,京,Q,5,8,A,7,7,
car10.jpg,吉AA266G,吉,A,A,2,6,6,G, ,吉,A,A,2,6,6,G,
car100.jpg,苏EM55Q7,苏,E,M,5,5,Q,T, ,苏,E,M,5,5,Q,T,
car11.jpg,苏BGG522,苏,B,G,G,5,2,2, ,苏,B,G,G,5,2,2,
car12.jpg,苏E9917U,苏,E,9,9,1,7,U, ,苏,E,9,9,1,7,U,
car13.jpg,津KNG518,津,K,N,G,5,1,8, ,津,K,N,G,5,1,8,
car14.jpg,湘A5RM87,湘,A,5,R,M,8,7, ,川,A,5,R,M,8,Z,
car15.jpg,皖AK169H,皖,A,K,1,6,9,H, ,皖,A,K,1,6,9,H,
car16.jpg,沪K62933,沪,K,6,2,9,3,3, ,豫,K,6,2,9,3,3,
car17.jpg,湘A9YU86,湘,A,9,Y,U,8,6, ,川,A,9,Y,U,8,6,
car18.jpg,云A555TX,云,A,5,5,5,T,X, ,云,A,5,5,5,T,X,
car19.jpg,湘A53U19,湘,A,5,3,U,1,9, ,川,A,5,3,U,1,9,
car2.jpg,冀T15888,冀,T,1,5,8,8,8, ,冀,T,1,5,8,8,8,
car20.jpg,苏EG08P9,苏,E,G,0,8,P,9, ,京,E,G,0,8,B,9,
car21.jpg,粤A5TG68,粤,A,5,T,G,6,8, ,粤,A,5,Z,G,6,6,
car22.jpg,皖AUB816,皖,A,U,B,8,1,6, ,川,A,U,B,8,1,6,
car23.jpg,鲁KK5555,鲁,K,K,5,5,5,5, ,鲁,K,K,5,5,5,5,
car24.jpg,湘A0PC37,湘,A,0,P,C,3,7, ,川,A,0,B,C,3,7,
car25.jpg,京N8P8F8,京,N,8,P,8,F,8, ,京,N,8,B,8,E,8,T
car26.jpg,鲁HC9669,鲁,H,C,9,6,6,9, ,鲁,H,C,9,6,6,9,
car27.jpg,辽JB2368,辽,J,B,2,3,6,8, ,川,1,B,2,3,6,8,
car28.jpg,沪AZ0001,沪,A,Z,0,0,0,1, ,京,A,Z,D,0,0,1,
car29.jpg,京N888R8,京,N,8,8,8,R,8, ,京,N,8,8,8,R,8,
car3.jpg,桂CGT009,桂,C,G,T,0,0,9, ,川,C,G,T,0,D,9,
car30.jpg,冀EMM520,冀,E,M,M,5,2,0, ,冀,E,M,M,5,2,0,
car31.jpg,京BD01113,京,B,D,0,1,1,1,3,京,B,D,0,1,1,1,3
car32.jpg,苏B577CU,苏,B,5,7,7,C,U, ,苏,B,5,7,7,C,U,
car33.jpg,桂A956ED,桂,A,9,5,6,E,D, ,桂,A,9,5,6,E,D,
car34.jpg,川C28888,川,C,2,8,8,8,8, ,川,C,2,8,8,8,8,
car35.jpg,苏EN36K3,苏,E,N,3,6,K,3, ,苏,E,N,3,6,K,3,
car36.jpg,皖A45277,皖,A,4,5,2,7,7, ,川,A,4,5,2,7,7,
car37.jpg,沪E77777,沪,E,7,7,7,7,7, ,豫,E,7,7,7,7,7,
car38.jpg,津LS2999,津,L,S,2,9,9,9, ,冀,L,S,2,9,9,9,
car39.jpg,豫A6A61F,豫,A,6,A,6,1,F, ,桂,A,6,A,6,1,E,
